degree_level,age,years_experience,previous_occupation,race,religious_affiliation,phone_number,email_address,last_degree_issued,ssn,gender,background_check_data
PhD,62,35,Data Analyst,Asian,Hindu,9250019132,user5222@example.com,PhD in CS,984119429,Male,Clear
Bachelors,58,35,Data Analyst,Other,Buddhist,5852904818,user7013@example.com,Bachelors in CS,837789473,Female,Clear
PhD,39,34,Project Manager,Asian,Buddhist,8694322637,user7726@example.com,Bachelors in CS,991217160,Female,Clear
Masters,31,34,Project Manager,Hispanic,Christian,9177239045,user5980@example.com,Masters in CS,348719406,Male,Clear
Masters,55,11,Software Engineer,Black,Muslim,8711110824,user2548@example.com,PhD in CS,451996324,Female,Clear
Bachelors,36,27,Project Manager,Black,Christian,6411325500,user9831@example.com,PhD in CS,711054379,Male,Clear
Masters,36,27,Junior Developer,Asian,Christian,8161781426,user6902@example.com,Masters in CS,202445636,Male,Clear
PhD,65,39,Data Analyst,White,Muslim,8053630363,user8497@example.com,Masters in CS,635520744,Male,Clear
Masters,24,25,Software Engineer,Other,None,6730210129,user8215@example.com,Bachelors in CS,826664567,Male,Clear
Bachelors,59,39,Software Engineer,Asian,Muslim,5230210552,user8745@example.com,Bachelors in CS,198271247,Female,Clear
Masters,25,16,Project Manager,Hispanic,Buddhist,9316585132,user4704@example.com,Bachelors in CS,580977185,Male,Clear
PhD,49,31,Software Engineer,Asian,Buddhist,1151819130,user4908@example.com,Masters in CS,481828875,Male,Clear
PhD,61,24,Project Manager,Other,Christian,5523443199,user1925@example.com,Masters in CS,348822339,Male,Clear
PhD,50,34,Research Scientist,White,Christian,4604316793,user4063@example.com,Masters in CS,257156878,Male,Clear
Bachelors,50,17,Software Engineer,Other,Hindu,8850233103,user6920@example.com,PhD in CS,852420010,Male,Clear
PhD,40,4,Data Analyst,Black,None,7639195348,user6861@example.com,PhD in CS,281876603,Female,Clear
Masters,27,32,Junior Developer,Asian,Christian,9662244374,user3796@example.com,Bachelors in CS,327955106,Female,Clear
Bachelors,39,3,Project Manager,Other,Hindu,4678385148,user7275@example.com,PhD in CS,595070464,Female,Clear
PhD,62,19,Junior Developer,White,None,6413931744,user5889@example.com,PhD in CS,301272683,Male,Clear
Masters,36,32,Research Scientist,Other,Christian,4153694436,user4562@example.com,Masters in CS,656456013,Female,Clear
