application_id,job,job_id,position,tenure_track,date,candidate
0,0,Professor,Mathematics,1,2015-09-13 14:40:16,user4512@example.com
1,1,Professor,Mathematics,0,2007-03-14 05:12:33,user2554@example.com
2,2,Assistant Professor,Art,1,2005-09-26 15:21:42,user4239@example.com
3,3,Professor,Electrical Engineering,1,2008-05-25 19:42:01,user4089@example.com
4,4,Assistant Professor,Mathematics,1,2009-04-22 12:17:27,user4642@example.com
5,5,Associate Professor,Mathematics,1,2012-12-04 02:31:05,user6175@example.com
6,6,Assistant Professor,Mathematics,0,2017-02-16 11:25:35,user5236@example.com
7,7,Professor,Mathematics,0,2023-09-16 20:25:34,user4589@example.com
8,8,Professor,Physics,0,2013-02-09 12:54:16,user8051@example.com
9,9,Assistant Professor,Computer Science,1,2005-01-28 06:32:54,user9658@example.com
10,10,Associate Professor,English,0,2009-04-22 21:14:53,user3908@example.com
11,11,Professor,Computer Science,1,2003-07-23 05:23:25,user7214@example.com
12,12,Professor,Art,0,2012-07-17 05:59:36,user4954@example.com
13,13,Assistant Professor,Computer Science,1,2023-02-11 09:53:53,user3661@example.com
14,14,Associate Professor,Mathematics,0,2012-06-19 08:19:15,user1615@example.com
15,15,Professor,English,0,2019-08-02 12:48:49,user1026@example.com
16,16,Professor,Physics,1,2009-03-11 16:48:41,user8472@example.com
17,17,Associate Professor,Electrical Engineering,1,2006-02-18 17:47:55,user2801@example.com
18,18,Associate Professor,Physics,0,2016-02-25 06:34:31,user3843@example.com
19,19,Professor,Mathematics,1,2019-09-03 01:38:05,user2478@example.com
20,20,Associate Professor,Mathematics,1,2001-12-22 12:06:50,user3793@example.com
21,21,Professor,Mathematics,1,2008-07-06 05:12:31,user6843@example.com
22,22,Associate Professor,Electrical Engineering,1,2022-08-04 21:36:02,user1547@example.com
23,23,Associate Professor,English,1,2013-04-24 19:34:21,user1594@example.com
24,24,Associate Professor,Mathematics,1,2008-08-16 20:03:01,user8232@example.com
25,25,Assistant Professor,Art,0,2005-08-25 18:04:05,user8537@example.com
26,26,Associate Professor,Physics,0,2021-10-26 16:11:48,user4388@example.com
27,27,Professor,Art,1,2009-05-25 10:33:10,user8959@example.com
28,28,Associate Professor,Electrical Engineering,1,2010-03-05 06:54:27,user9757@example.com
29,29,Associate Professor,English,0,2021-11-25 10:55:59,user3858@example.com
30,30,Assistant Professor,Art,0,2001-11-23 09:30:15,user5267@example.com
31,31,Assistant Professor,Physics,1,2021-04-09 16:32:54,user2788@example.com
32,32,Assistant Professor,Computer Science,0,2009-02-05 01:52:51,user5949@example.com
33,33,Assistant Professor,Electrical Engineering,1,2003-12-21 23:22:16,user6733@example.com
34,34,Assistant Professor,Art,1,2023-08-13 18:34:33,user7677@example.com
35,35,Assistant Professor,English,1,2010-01-01 10:46:24,user9134@example.com
36,36,Professor,Physics,0,2020-07-26 00:03:37,user2281@example.com
37,37,Assistant Professor,Mathematics,1,2020-07-10 14:08:08,user3549@example.com
38,38,Associate Professor,English,0,2012-03-15 00:04:31,user1202@example.com
39,39,Assistant Professor,English,1,2017-04-06 21:33:50,user9365@example.com
40,40,Professor,Computer Science,1,2001-09-15 05:16:10,user3799@example.com
41,41,Professor,Electrical Engineering,1,2005-06-06 17:49:03,user4068@example.com
42,42,Associate Professor,Mathematics,0,2015-05-27 06:58:31,user8484@example.com
43,43,Professor,Computer Science,0,2014-05-16 16:36:36,user1866@example.com
44,44,Associate Professor,English,1,2001-09-12 11:41:57,user3542@example.com
45,45,Professor,Physics,0,2005-03-05 14:27:01,user7482@example.com
46,46,Professor,Art,1,2021-08-22 21:06:54,user6438@example.com
47,47,Assistant Professor,English,1,2007-01-19 07:22:09,user9783@example.com
48,48,Associate Professor,Art,1,2019-08-28 04:30:38,user4974@example.com
49,49,Assistant Professor,Mathematics,0,2017-12-20 15:49:32,user5926@example.com
50,50,Assistant Professor,Art,0,2016-08-02 05:28:52,user3109@example.com
51,51,Assistant Professor,Computer Science,1,2011-11-21 21:43:32,user8859@example.com
52,52,Professor,Physics,1,2018-01-07 19:20:09,user9589@example.com
53,53,Professor,Computer Science,1,2005-01-25 20:53:01,user3588@example.com
54,54,Assistant Professor,Art,1,2011-06-13 19:32:18,user9373@example.com
55,55,Professor,Physics,1,2011-03-02 17:40:05,user3429@example.com
56,56,Associate Professor,Mathematics,0,2000-12-25 02:38:17,user6804@example.com
57,57,Assistant Professor,Electrical Engineering,1,2019-11-01 09:58:41,user7238@example.com
58,58,Assistant Professor,Physics,0,2012-05-13 14:44:40,user3808@example.com
59,59,Assistant Professor,Physics,1,2019-11-18 13:53:58,user4599@example.com
60,60,Assistant Professor,Computer Science,1,2016-07-09 23:52:57,user9641@example.com
61,61,Assistant Professor,English,0,2015-12-17 18:23:15,user8284@example.com
62,62,Assistant Professor,Mathematics,0,2012-10-08 09:04:52,user6103@example.com
63,63,Associate Professor,Art,1,2017-02-15 22:51:18,user6116@example.com
64,64,Associate Professor,Physics,1,2005-01-23 20:31:02,user5836@example.com
65,65,Associate Professor,Electrical Engineering,1,2018-12-13 11:17:19,user5694@example.com
66,66,Associate Professor,Mathematics,1,2020-09-19 03:45:44,user9283@example.com
67,67,Assistant Professor,Mathematics,0,2013-08-15 20:03:24,user4127@example.com
68,68,Associate Professor,Art,0,2019-08-11 15:26:35,user7141@example.com
69,69,Associate Professor,Art,0,2023-06-14 04:08:09,user6936@example.com
70,70,Professor,English,1,2018-12-10 18:26:09,user4898@example.com
71,71,Assistant Professor,Art,1,2012-05-20 16:10:54,user6414@example.com
72,72,Associate Professor,English,1,2015-06-26 17:49:13,user6182@example.com
73,73,Professor,Physics,1,2011-02-18 16:40:22,user9884@example.com
74,74,Assistant Professor,Electrical Engineering,0,2018-01-27 00:21:08,user7440@example.com
75,75,Assistant Professor,Art,1,2011-08-14 00:03:18,user9185@example.com
76,76,Assistant Professor,Electrical Engineering,0,2021-05-18 18:53:33,user5605@example.com
77,77,Associate Professor,English,1,2005-05-13 19:58:51,user5084@example.com
78,78,Assistant Professor,Computer Science,0,2010-06-23 17:58:46,user4038@example.com
79,79,Assistant Professor,Computer Science,1,2016-09-08 04:26:34,user5527@example.com
80,80,Professor,Physics,1,2014-12-16 04:30:29,user4685@example.com
81,81,Associate Professor,Art,1,2003-02-19 05:07:19,user1717@example.com
82,82,Professor,English,0,2010-12-09 16:13:26,user2139@example.com
83,83,Assistant Professor,Electrical Engineering,1,2006-08-25 13:47:20,user5166@example.com
84,84,Assistant Professor,Art,0,2012-12-05 10:40:55,user8271@example.com
85,85,Professor,Physics,0,2007-04-04 03:19:30,user4992@example.com
86,86,Assistant Professor,Electrical Engineering,1,2010-05-22 11:10:20,user4140@example.com
87,87,Associate Professor,Art,1,2007-11-13 04:57:29,user9047@example.com
88,88,Associate Professor,English,1,2016-08-06 08:37:01,user2151@example.com
89,89,Associate Professor,Physics,0,2008-03-15 07:14:00,user1623@example.com
90,90,Assistant Professor,Physics,0,2011-06-17 12:42:16,user4639@example.com
91,91,Assistant Professor,Physics,0,2016-01-12 12:15:59,user3329@example.com
92,92,Associate Professor,Physics,1,2005-12-19 01:35:28,user1039@example.com
93,93,Associate Professor,Mathematics,0,2015-07-16 17:09:57,user4568@example.com
94,94,Assistant Professor,Computer Science,1,2019-12-24 11:06:37,user1202@example.com
95,95,Assistant Professor,Physics,1,2008-07-16 22:31:08,user6154@example.com
96,96,Associate Professor,Mathematics,1,2020-04-10 16:15:02,user4639@example.com
97,97,Assistant Professor,Electrical Engineering,1,2011-04-16 12:38:23,user1772@example.com
98,98,Associate Professor,English,0,2004-07-07 02:30:38,user7442@example.com
99,99,Professor,English,1,2012-08-18 20:48:53,user2738@example.com
100,100,Professor,English,1,2009-07-15 02:44:54,user4885@example.com
101,101,Professor,Mathematics,0,2000-03-06 23:57:14,user6573@example.com
102,102,Assistant Professor,Computer Science,1,2010-06-01 19:05:56,user4830@example.com
103,103,Associate Professor,Electrical Engineering,1,2019-09-07 02:08:00,user8256@example.com
104,104,Assistant Professor,Mathematics,0,2008-06-18 07:17:27,user7056@example.com
105,105,Professor,Physics,0,2022-06-25 07:35:40,user8153@example.com
106,106,Professor,Computer Science,1,2011-03-22 23:55:14,user5517@example.com
107,107,Professor,Art,1,2015-07-19 11:39:36,user5458@example.com
108,108,Professor,Electrical Engineering,0,2000-07-05 11:50:51,user9753@example.com
109,109,Associate Professor,Mathematics,0,2004-01-24 04:54:46,user3185@example.com
110,110,Associate Professor,Electrical Engineering,1,2003-03-24 06:18:28,user8288@example.com
111,111,Professor,Art,1,2000-03-12 15:40:48,user3780@example.com
112,112,Assistant Professor,English,0,2001-06-10 08:52:04,user1613@example.com
113,113,Professor,Electrical Engineering,0,2009-12-18 12:28:26,user2923@example.com
114,114,Professor,English,0,2014-09-16 02:55:18,user2706@example.com
115,115,Professor,English,0,2011-06-12 16:58:50,user5298@example.com
116,116,Professor,Art,1,2010-01-05 15:38:04,user9084@example.com
117,117,Assistant Professor,Mathematics,0,2004-03-11 19:20:19,user7885@example.com
118,118,Associate Professor,English,1,2009-05-10 02:21:59,user1014@example.com
119,119,Assistant Professor,Electrical Engineering,1,2017-11-08 19:00:54,user1173@example.com
120,120,Professor,Mathematics,0,2022-04-02 05:01:16,user2618@example.com
121,121,Associate Professor,Mathematics,0,2014-08-16 23:49:59,user5733@example.com
122,122,Assistant Professor,Mathematics,0,2008-02-13 17:17:44,user5386@example.com
123,123,Associate Professor,Art,0,2023-04-03 03:35:59,user2575@example.com
124,124,Associate Professor,English,0,2020-02-10 20:10:12,user3068@example.com
125,125,Associate Professor,Art,1,2011-10-04 16:52:09,user1197@example.com
126,126,Assistant Professor,Art,1,2001-01-18 03:40:12,user2582@example.com
127,127,Associate Professor,Mathematics,0,2011-07-08 02:38:25,user1641@example.com
128,128,Assistant Professor,Art,1,2006-07-14 10:19:36,user5430@example.com
129,129,Professor,Electrical Engineering,1,2023-12-23 06:44:51,user8249@example.com
130,130,Associate Professor,Electrical Engineering,0,2010-11-03 07:40:50,user6320@example.com
131,131,Associate Professor,Electrical Engineering,0,2016-06-17 21:05:15,user6114@example.com
132,132,Assistant Professor,Mathematics,1,2022-11-11 23:48:38,user3042@example.com
133,133,Associate Professor,Art,1,2016-12-22 14:34:35,user4786@example.com
134,134,Associate Professor,Electrical Engineering,1,2014-10-19 14:49:22,user4550@example.com
135,135,Associate Professor,Physics,0,2009-02-21 04:00:13,user7251@example.com
136,136,Assistant Professor,English,0,2021-03-27 01:35:30,user4010@example.com
137,137,Professor,English,0,2015-11-07 12:26:28,user9098@example.com
138,138,Associate Professor,Physics,1,2008-06-28 11:12:49,user7084@example.com
139,139,Assistant Professor,Art,0,2000-07-06 19:12:25,user7560@example.com
140,140,Professor,Electrical Engineering,0,2015-01-26 19:55:12,user3396@example.com
141,141,Associate Professor,English,1,2019-10-17 03:53:13,user5913@example.com
142,142,Associate Professor,English,1,2003-07-20 03:17:42,user1798@example.com
143,143,Professor,Computer Science,0,2001-09-14 13:59:20,user9096@example.com
144,144,Associate Professor,Electrical Engineering,1,2008-03-14 11:41:59,user8537@example.com
145,145,Professor,Electrical Engineering,0,2003-11-22 05:55:29,user5827@example.com
146,146,Associate Professor,Computer Science,1,2013-10-22 11:51:53,user5149@example.com
