degree_level,age,years_experience,previous_occupation,race,religious_affiliation,phone_number,email,last_degree_issued,ssn,gender,background_check_data
Bachelors,21,17,Junior Developer,White,Muslim,1919484343,user4747@example.com,Bachelors in CS,231257537,Female,Clear
Bachelors,21,30,Research Scientist,Asian,Buddhist,5762240366,user9004@example.com,PhD in CS,973521918,Male,Clear
PhD,31,2,Data Analyst,Other,Muslim,4863767495,user4728@example.com,PhD in CS,908138203,Male,Clear
Masters,28,38,Research Scientist,Hispanic,None,3412182189,user4235@example.com,Bachelors in CS,131459993,Male,Clear
Bachelors,28,31,Software Engineer,Asian,Muslim,5278773989,user2215@example.com,Bachelors in CS,351546685,Female,Clear
Masters,37,29,Project Manager,White,Muslim,6710053872,user9413@example.com,PhD in CS,575348461,Male,Clear
PhD,28,1,Software Engineer,Black,None,7386130981,user1956@example.com,Bachelors in CS,347109678,Female,Clear
PhD,22,25,Data Analyst,Hispanic,Hindu,6347601910,user3764@example.com,Bachelors in CS,797825128,Male,Clear
Masters,64,27,Research Scientist,Black,Hindu,2813418285,user1895@example.com,Masters in CS,528055863,Male,Clear
PhD,61,10,Research Scientist,Hispanic,Muslim,5026821137,user4896@example.com,PhD in CS,157812988,Male,Clear
Masters,45,16,Project Manager,White,Buddhist,3315840453,user8724@example.com,Masters in CS,313065254,Male,Clear
Masters,30,23,Research Scientist,Asian,Christian,8503471848,user5945@example.com,PhD in CS,175577334,Female,Clear
Masters,28,17,Project Manager,Other,Hindu,5074387657,user1007@example.com,PhD in CS,883556582,Female,Clear
Masters,31,38,Junior Developer,Asian,None,6985937209,user5685@example.com,Bachelors in CS,410269846,Female,Clear
PhD,25,29,Software Engineer,White,Muslim,2162019169,user2533@example.com,Bachelors in CS,789360385,Male,Clear
Bachelors,24,8,Research Scientist,Black,Hindu,6877463584,user4690@example.com,Bachelors in CS,786775862,Female,Clear
Bachelors,27,40,Data Analyst,Black,Muslim,3563095692,user4612@example.com,Masters in CS,639456328,Male,Clear
Masters,38,29,Data Analyst,Black,None,1030104264,user6417@example.com,Masters in CS,432636709,Female,Clear
Masters,61,10,Data Analyst,White,None,7153618348,user2275@example.com,PhD in CS,654362903,Female,Clear
Masters,24,5,Research Scientist,Asian,Muslim,7906587367,user3463@example.com,Bachelors in CS,407046896,Female,Clear
Bachelors,59,39,Junior Developer,Black,Hindu,9299318721,user3989@example.com,Bachelors in CS,363196386,Female,Clear
Masters,22,4,Software Engineer,Hispanic,None,3385373448,user6597@example.com,Masters in CS,360145135,Male,Clear
Bachelors,58,24,Data Analyst,Black,Muslim,9145065036,user2006@example.com,Masters in CS,536324391,Female,Clear
Bachelors,62,20,Project Manager,Black,None,8535354181,user7623@example.com,Bachelors in CS,562809116,Female,Clear
Bachelors,33,26,Project Manager,White,Muslim,9407947676,user3437@example.com,Masters in CS,403219405,Female,Clear
Masters,44,6,Software Engineer,White,Christian,3641178880,user1179@example.com,PhD in CS,882101221,Male,Clear
PhD,55,14,Project Manager,Other,Christian,2844848493,user8297@example.com,Bachelors in CS,662909561,Female,Clear
Masters,60,29,Data Analyst,Other,Muslim,6226246543,user3367@example.com,Bachelors in CS,853252877,Male,Clear
Bachelors,57,26,Research Scientist,Hispanic,None,8587365226,user6258@example.com,PhD in CS,247533630,Male,Clear
Masters,42,19,Software Engineer,Black,None,4283298764,user8230@example.com,Bachelors in CS,720848208,Female,Clear
Masters,46,17,Data Analyst,Black,Hindu,6589711067,user6759@example.com,PhD in CS,218068638,Male,Clear
PhD,61,0,Data Analyst,Black,Buddhist,5696001401,user8455@example.com,Masters in CS,306627036,Female,Clear
Bachelors,65,37,Research Scientist,Asian,Hindu,5627985322,user5314@example.com,PhD in CS,451516916,Male,Clear
PhD,62,29,Software Engineer,Black,None,9859795601,user3362@example.com,Masters in CS,443481084,Female,Clear
Masters,34,13,Project Manager,White,Hindu,8284121402,user4843@example.com,Bachelors in CS,889671537,Female,Clear
PhD,29,35,Project Manager,Hispanic,None,4103662692,user5384@example.com,PhD in CS,666627201,Female,Clear
PhD,64,3,Data Analyst,Asian,Buddhist,6295128831,user9124@example.com,Masters in CS,751037197,Female,Clear
Bachelors,54,4,Junior Developer,Black,None,8287248032,user6784@example.com,Masters in CS,763384099,Female,Clear
Masters,37,40,Project Manager,Asian,Buddhist,1758028415,user7052@example.com,Bachelors in CS,229917643,Male,Clear
Masters,53,31,Research Scientist,Hispanic,None,2590980016,user8967@example.com,Masters in CS,617539508,Male,Clear
PhD,63,1,Data Analyst,White,Christian,4624643217,user1614@example.com,PhD in CS,165734914,Male,Clear
PhD,65,30,Data Analyst,Hispanic,None,6310345071,user2361@example.com,PhD in CS,625346690,Male,Clear
Bachelors,64,16,Research Scientist,Other,Buddhist,8029633484,user8895@example.com,Masters in CS,510109025,Male,Clear
Bachelors,48,12,Junior Developer,Other,Buddhist,5949004818,user9037@example.com,PhD in CS,282733359,Female,Clear
PhD,46,34,Data Analyst,White,Buddhist,4256464569,user1474@example.com,Masters in CS,464589211,Male,Clear
Masters,29,1,Research Scientist,Hispanic,Muslim,8220374530,user1793@example.com,Bachelors in CS,385451803,Male,Clear
Masters,64,18,Project Manager,White,Hindu,8357408213,user3129@example.com,Masters in CS,489412761,Female,Clear
Masters,49,28,Project Manager,White,Muslim,8462120893,user9317@example.com,PhD in CS,870838794,Male,Clear
PhD,26,0,Project Manager,Hispanic,Buddhist,6718503818,user5728@example.com,Bachelors in CS,835147644,Male,Clear
Bachelors,48,39,Software Engineer,White,Hindu,1427902959,user9652@example.com,PhD in CS,388324416,Male,Clear
Bachelors,41,33,Software Engineer,Black,None,4371407977,user2983@example.com,Masters in CS,562157120,Female,Clear
Masters,60,33,Project Manager,White,Muslim,3300293489,user9521@example.com,Masters in CS,693006796,Male,Clear
Bachelors,34,19,Project Manager,Black,Muslim,1868728318,user4084@example.com,PhD in CS,496794078,Female,Clear
Masters,42,12,Software Engineer,White,Hindu,3761972411,user9036@example.com,Bachelors in CS,220546813,Female,Clear
Bachelors,47,35,Software Engineer,Hispanic,None,1705889061,user4690@example.com,PhD in CS,775834362,Male,Clear
Masters,20,24,Project Manager,White,Muslim,5133620747,user6473@example.com,Bachelors in CS,546436258,Female,Clear
Bachelors,63,35,Junior Developer,Hispanic,Buddhist,7414076122,user9479@example.com,PhD in CS,104950251,Male,Clear
Masters,29,30,Software Engineer,Asian,Christian,6395544456,user7101@example.com,Masters in CS,712866049,Female,Clear
Bachelors,42,6,Software Engineer,White,Buddhist,9610037560,user3487@example.com,Masters in CS,273622113,Female,Clear
Bachelors,46,11,Junior Developer,Hispanic,Christian,9617009515,user1170@example.com,Bachelors in CS,921029445,Male,Clear
Bachelors,62,21,Software Engineer,Hispanic,Hindu,3685840071,user7201@example.com,PhD in CS,127759158,Male,Clear
PhD,53,11,Software Engineer,Asian,Muslim,5134382546,user1758@example.com,PhD in CS,283296531,Male,Clear
PhD,31,36,Project Manager,White,Christian,7863874278,user7006@example.com,PhD in CS,460871968,Male,Clear
PhD,55,13,Software Engineer,Other,Hindu,7780955046,user3474@example.com,Masters in CS,786121885,Female,Clear
Masters,28,34,Junior Developer,Black,Hindu,3855466351,user6316@example.com,PhD in CS,308364598,Male,Clear
Bachelors,50,18,Junior Developer,Black,None,4311682115,user6014@example.com,Masters in CS,695984486,Male,Clear
Masters,49,4,Project Manager,Other,Buddhist,7432291706,user4452@example.com,Bachelors in CS,436654034,Female,Clear
Bachelors,56,37,Software Engineer,Other,None,3791711849,user6221@example.com,PhD in CS,904406223,Female,Clear
Bachelors,27,4,Data Analyst,Hispanic,Muslim,4464369807,user7510@example.com,PhD in CS,700983989,Female,Clear
Bachelors,25,5,Software Engineer,White,None,9234098016,user2664@example.com,Masters in CS,987061478,Male,Clear
Bachelors,25,31,Research Scientist,Asian,Buddhist,3006390712,user7474@example.com,Masters in CS,972754738,Male,Clear
Masters,25,7,Software Engineer,Other,None,9381570320,user2931@example.com,Bachelors in CS,881453050,Male,Clear
Masters,29,34,Data Analyst,Hispanic,Buddhist,8570853449,user3635@example.com,Bachelors in CS,500964029,Female,Clear
Masters,38,15,Junior Developer,Other,None,8271595348,user7888@example.com,Masters in CS,388912622,Male,Clear
PhD,45,19,Software Engineer,Black,Muslim,1662534495,user3339@example.com,Bachelors in CS,396533299,Female,Clear
