degree_level,age,years_experience,previous_occupation,race,religious_affiliation,phone_number,email,last_degree_issued,ssn,gender,background_check_data
Masters,55,6,Software Engineer,Other,Hindu,9293933244,user1592@example.com,Masters in CS,535944510,Male,Clear
PhD,43,30,Research Scientist,Other,Muslim,7694012162,user1172@example.com,Bachelors in CS,353262062,Male,Clear
Masters,62,16,Research Scientist,Other,None,8581312400,user6568@example.com,Masters in CS,810216808,Female,Clear
Masters,36,36,Data Analyst,Other,Christian,3347413322,user6438@example.com,PhD in CS,383036666,Female,Clear
PhD,32,14,Project Manager,Asian,Buddhist,8442287226,user7716@example.com,PhD in CS,602199923,Female,Clear
Bachelors,58,20,Junior Developer,Black,Buddhist,5734609632,user8621@example.com,Masters in CS,107244026,Male,Clear
Masters,59,12,Data Analyst,Other,None,8078287687,user3291@example.com,Masters in CS,997130503,Female,Clear
PhD,34,2,Software Engineer,Hispanic,None,1066489017,user8183@example.com,Bachelors in CS,192111679,Male,Clear
Masters,41,32,Junior Developer,Asian,None,6690906990,user6828@example.com,PhD in CS,119930311,Female,Clear
Masters,32,17,Research Scientist,White,None,9909303668,user7627@example.com,Masters in CS,267413853,Female,Clear
Masters,41,25,Project Manager,Asian,Muslim,1954553677,user6980@example.com,PhD in CS,169426799,Male,Clear
PhD,41,15,Junior Developer,Hispanic,Hindu,7796784186,user5749@example.com,PhD in CS,733761648,Female,Clear
PhD,63,30,Software Engineer,Black,Buddhist,9053484362,user2984@example.com,PhD in CS,948130037,Male,Clear
PhD,34,36,Software Engineer,Asian,Christian,1420625016,user6344@example.com,Masters in CS,317205581,Male,Clear
PhD,41,15,Project Manager,Other,Buddhist,5877389484,user7176@example.com,PhD in CS,789527121,Female,Clear
Bachelors,45,9,Software Engineer,Asian,Muslim,9200430505,user4434@example.com,Bachelors in CS,606764215,Male,Clear
Masters,50,3,Data Analyst,White,None,7731350857,user7107@example.com,Bachelors in CS,459196738,Male,Clear
PhD,45,2,Junior Developer,Black,None,1533848419,user4222@example.com,Bachelors in CS,662248338,Female,Clear
Bachelors,45,0,Project Manager,Other,Christian,7786028898,user3660@example.com,Masters in CS,969702948,Female,Clear
Bachelors,29,0,Software Engineer,Black,Buddhist,4340958348,user2603@example.com,PhD in CS,648869064,Male,Clear
Bachelors,26,30,Project Manager,White,Christian,4656041324,user3943@example.com,PhD in CS,723491024,Female,Clear
Masters,27,34,Project Manager,Hispanic,Christian,4683918195,user1969@example.com,Masters in CS,270243889,Male,Clear
Bachelors,51,0,Software Engineer,Black,None,4444146126,user9388@example.com,Bachelors in CS,928773246,Male,Clear
Masters,55,6,Data Analyst,Asian,Muslim,1033853624,user5983@example.com,PhD in CS,876970673,Female,Clear
PhD,65,4,Junior Developer,White,Muslim,6676619138,user5455@example.com,Masters in CS,620582201,Male,Clear
Bachelors,57,39,Research Scientist,Black,Buddhist,6682445623,user4516@example.com,Bachelors in CS,786681627,Female,Clear
Masters,52,38,Data Analyst,Black,Hindu,1143007030,user3208@example.com,Bachelors in CS,147877769,Male,Clear
PhD,35,20,Research Scientist,Hispanic,None,7531301617,user1852@example.com,PhD in CS,414762858,Female,Clear
PhD,24,33,Junior Developer,Black,None,3458763182,user6556@example.com,PhD in CS,983276039,Male,Clear
Bachelors,46,0,Research Scientist,Other,Hindu,5765251336,user1457@example.com,Masters in CS,583099976,Female,Clear
PhD,42,39,Project Manager,White,None,5295767034,user2307@example.com,Masters in CS,195999173,Male,Clear
PhD,40,38,Project Manager,Asian,Muslim,5930811312,user5570@example.com,Bachelors in CS,317760615,Female,Clear
Bachelors,42,1,Software Engineer,Other,Muslim,4379384486,user7216@example.com,Bachelors in CS,406943143,Male,Clear
Masters,35,15,Software Engineer,Other,Muslim,9636934275,user1220@example.com,PhD in CS,598081731,Male,Clear
Bachelors,28,9,Software Engineer,Black,None,4485427613,user2611@example.com,PhD in CS,113723336,Female,Clear
Bachelors,41,28,Research Scientist,Hispanic,Christian,6263782732,user4780@example.com,Masters in CS,138795290,Male,Clear
PhD,61,28,Research Scientist,Asian,Muslim,7036647195,user7311@example.com,PhD in CS,255425078,Male,Clear
Bachelors,30,8,Junior Developer,Black,None,5157804352,user8193@example.com,Masters in CS,131176070,Female,Clear
Masters,44,39,Junior Developer,Hispanic,Christian,2267946425,user2550@example.com,Bachelors in CS,377024997,Male,Clear
Masters,25,24,Project Manager,White,Hindu,1882697969,user8105@example.com,PhD in CS,266405483,Female,Clear
Masters,42,34,Research Scientist,White,Muslim,7441596668,user4822@example.com,Bachelors in CS,203008594,Male,Clear
Bachelors,54,21,Research Scientist,Black,Hindu,7213615939,user1339@example.com,Bachelors in CS,894215822,Female,Clear
Masters,54,13,Project Manager,Asian,Christian,2063279400,user6606@example.com,PhD in CS,152153263,Male,Clear
Masters,33,39,Data Analyst,Hispanic,Muslim,6617680452,user1495@example.com,Bachelors in CS,908727985,Male,Clear
Masters,23,38,Junior Developer,Other,Hindu,9232019269,user1416@example.com,PhD in CS,207799213,Female,Clear
Masters,30,9,Data Analyst,Asian,Buddhist,2800523824,user7844@example.com,PhD in CS,543691945,Female,Clear
Masters,53,20,Software Engineer,Hispanic,Christian,3107486473,user7322@example.com,Bachelors in CS,412431034,Female,Clear
Bachelors,25,5,Data Analyst,White,Buddhist,5293189448,user4830@example.com,Bachelors in CS,708588923,Female,Clear
Masters,64,29,Software Engineer,White,Muslim,8672208000,user5072@example.com,Bachelors in CS,778400067,Female,Clear
